document_id,clean_text,sentiment
1,nisei male born septemb seattl washington spent prewar childhood seattl nihonmachi incarcer puyallup assembl center washington minidoka concentr camp idaho refus particip draft imprison mcneil island penitentiari washington draft resist resettl seattl,negative
2,nisei male born januari seattl washington incarcer puyallup assembl center washington minidoka concentr camp idaho resist draft rational u govern classifi c enemi alien therefor oblig serv imprison mcneil island penitentiari washington vocal critic japanes american citizen leagu resettl seattl washington thought model main charact john okada nono boy,negative
3,nisei male world war ii serv compani part nd regiment combat team alljapanes american fight unit one highli decor militari unit u histori interview discus experi train camp shelbi mississippi fight europ battl battl lost battalion,negative
4,nisei male born septemb hanapep hawaii world war ii serv compani part nd regiment combat team alljapanes american fight unit one highli decor militari unit u histori interview discus experi train camp shelbi mississippi fight europ battl battl lost battalion,neutral
5,nisei femal born april bedderavia california given adopt parent coupl could child grew famili farm one oldest nisei santa barbara area california incarcer puyallup assembl center washington minidoka concentr camp idaho widow clarenc arai lawyer key figur found japanes american citizen leagu interview discus childhood memori marri clarenc turbul war year war support famili care ail clarenc death remarri georg bartholomew,neutral
6,nisei femal born januari lo angel california world war ii incarcer manzanar concentr camp california wrote manzanar free press incarcer resettl world war ii madison wisconsin chicago illinoi return lo angel california found member nisei progress manzanar committe,positive
7,kibei male born portland oregon sent sibl educ japan ten year old return unit state world war ii incarcer portland assembl center oregon minidoka concentr camp idaho activ seattl postwar japanes american commun member past presid first hill lion club past presid atlant street center past presid franklin high school band pta past zone chairman japanes american citizen leagu jacl past jacl district governor area b interview discus childhood memori japan japanes attitud valu,negative
8,nisei male born januari seattl washington grew jackson street neighborhood seattl washington incarcer puyallup assembl center washington tule lake concentr camp california resettl seattl former teacher varsiti basketbal coach seattl franklin high school administr seattl central commun colleg,neutral
9,nisei male born januari seattl washington spent prewar year seattl nihonmachiyesl terrac area incarcer puyallup assembl center washington minidoka concentr camp idaho draft militari intellig servic mi postwar command nisei veteran committe nvc,positive
10,nisei femal born seattl washington parent oper store sanitari market known pike place market father activ kenjinkai prefectur organ activ world war ii spent prewar childhood among seattl japanes american commun incarcer puyallup assembl center washington minidoka concentr camp idaho one first japanes american famili return seattl war,positive
11,nisei male born june bainbridg island washington famili built oper bainbridg garden acr meticul landscap properti nurseri groceri store ga station onset world war ii famili move mose lake avoid incarcer farm live amidst fairli hostil larger commun follow war return bainbridg island find busi properti ruin neglect pilfer parent work rebuild mr harui began floral shop landscap busi eventu mr harui return bainbridg garden help restor thrive nurseri testimoni famili persever,negative
12,nisei femal born januari bellevu washington rais bellevu farm marri child incarcer pinedal assembl center california tule lake concentr camp california minidoka concentr camp idaho interview discus japanes american commun bellevu world war ii,positive
13,sansei femal born member san jose nihonmachi outreach committe noc nation coalit redressrepar ncrr help recruit individu testifi san francisco hear commiss wartim reloc intern citizen cwric organ support redress movement grassroot level,neutral
14,nisei femal born januari winslow washington grew japan fletcher bay area bainbridg island washington member first group japanes american forcibl remov home incarcer incarcer manzanar concentr camp california minidoka concentr camp idaho pregnant care two small child subject famou photo mother carri sleep child wear evacu tag,negative
15,nisei male born seattl washington grew japanes american farm commun bellevu washington incarcer pinedal assembl center tule lake concentr camp california minidoka concentr camp idaho longtim member support japanes american citizen leagu jacl,negative
16,nisei femal born august sacramento california grew sacramento lo angel world war ii remov manzanar concentr camp california transfer jerom concentr camp arkansa washington repres research nation council japanes american redress ncjar primari archiv research commiss wartim reloc intern civilian cwric three coram nobi case consult smithsonian institut nation museum american histori exhibit perfect union japanes american unit state constitut consult justic depart offic redress administr,positive
17,nisei male born april seattl washington spent childhood thoma washington parent part christian farm coop attend univers washington activ young men christian associ ymca conscienti objector movement becam quaker outbreak world war ii one hand individu challeng curfew remov order enforc japanes west coast cite christian principl assert duti maintain democrat standard nation live turn fbi found guilti serv time violat curfew order fail report evacu serv time convict gordon serv draft notic refus compli subsequ serv anoth period time draft resist suprem court upheld convict forti year postwar case reopen convict surround incarcer vacat ninth circuit court appeal argu part racial bia cornerston intern order,negative
18,nisei male born februari lodi california resettl voluntarili mankato minnesota prior mass remov resettl central california member japanes american citizen leagu jacl sinc becam activ redress movement fundrais lobbyist central california district council jacl,positive
19,nisei femal born wenatche washington grew wenatche move seattl famili incarcer puyallup assembl center washington minidoka concentr camp idaho resettl world war ii pocatello idaho return seattl world war ii,negative
20,nisei male born bellevu washington world war ii incarcer pinedal assembl center california tule lake concentr camp california prior war famili part japanes american eastsid commun clear farm larg portion bellevuekirklandredmond area,positive
21,nisei male born bellevu washington world war ii incarcer pinedal assembl center california tule lake concentr camp california prior war famili part japanes american eastsid commun clear farm larg portion bellevuekirklandredmond area,neutral
22,nisei male born februari bellevu washington world war ii incarcer pinedal assembl center california tule lake concentr camp california prior war famili part japanes american eastsid commun clear farm larg portion bellevuekirklandredmond area,positive
23,issei femal born june tono citi iwateken japan immigr unit state incarcer santa anita assembl center california amach concentr camp colorado father establish minist first westernstyl christian church tono citi husband assign santa anita assembl center offici head dentist pas away amach concentr camp,positive
24,nisei male born seattl washington grew seattl parent own hotel intern district interview discus japanes american hotel ownership earli mid role hotel associ japanes american commun,positive
25,nisei male born octob seattl washington grew seattl parent own hotel intern district interview discus japanes american hotel ownership earli mid role hotel associ japanes american commun,positive
26,issei male born march kure japan immigr parent seattl child parent ran sever hotel apart build intern district well tazuma ten cent store interview discus japanes american hotel ownership earli mid role hotel associ japanes american commun,positive
27,nisei male born april seattl washington spent prewar year seattl central area incarcer puyallup assembl center washington minidoka concentr camp idaho resist draft order imprison mcneil island penitentiari washington resettl seattl area releas,positive
28,sansei male born gila river concentr camp arizona father late rev kanmo imamura former bishop hawaii minist hawaii kyodan buddhist church america bca mother jane imamura compos mani child gatha sung dharma school grandfath issei minist instrument bring jodo shin buddhism america begin centuri patern grandfath bishop yemyo imamura hawaii kyodan matern grandfath rev issei matsuura buddhist church america receiv bachelor degre mathemat univers california berkeley master degre counsel san francisco state univers doctor degre counsel psycholog univers san francisco receiv tokudo kyoshi ordin kyoto minist hawaii kyodan director buddhist studi center year bca minist year move washington psychotherapist california cofound eastwest counsel center current professor psycholog evergreen state colleg olympia washington focu teach research eastwest psycholog emphasi buddhist thought practic,neutral
29,nisei male born septemb honolulu hawaii serv allvolunt allnisei nd regiment combat team world war ii lost right arm action earn distinguish servic cross follow war becam attorney sixterm senat hawaii sat select committe intellig select committe indian affair select committe secret militari assist iran nicaraguan opposit june inouy sworn presid protempor senat serv ninth consecut term pas away decemb,positive
30,nisei male born juli stockton california emeritu professor anatomi harvard medic school world war ii second lieuten nd field artilleri battalion nd regiment combat team interview discus memori serv nd psycholog aspect combat,negative
31,nisei male born march incarcer tule lake concentr camp california serv fundrais chair japanes american citizen leagu legisl educ committe rais half million dollar redress effort becam presid nation jacl,positive
32,nisei femal born april seattl washington incarcer puyallup assembl center washington minidoka concentr camp idaho resettl war chicago illinoi return seattl war member seattl nisei veteran committe woman auxiliari interview talk effort success get husband wartim courtmarti convict vacat death,negative
33,nisei male born decemb seattl washington grew seattl world war ii incarcer minidoka concentr camp idaho serv armi interview discus memori grow seattl japantown,positive
34,nisei femal born rais seattl washington interview discus memori grow seattl japantown,positive
35,nisei femal born octob seattl washington grew green lake area incarcer puyallup assembl center washington minidoka concentr camp idaho activ nation seattl chapter japanes american citizen leagu polit especi drive redress,neutral
36,sansei male born may bainbridg island washington incarcer parent manzanar concentr camp california minidoka concentr camp idaho return bainbridg island end world war ii presid bainbridg island japanes american commun bijac commun organ dedic preserv japanes american histori bainbridg island,positive
37,kibei male born octob seattl washington rais primarili san francisco california spend four year hiratsuka japan incarcer famili topaz concentr camp utah refus sign socal loyalti questionnair consequ move tule lake segreg center california tule renounc u citizenship protest incarcer treatment camp socal loyalti questionnair shortli thereaft regret action attempt rescind decis would ten year would regain citizenship releas tule lake march accept scholarship colleg ozark arkansa transfer univers california berkeley serv oversea u air forc intellig korean war renunci discov dismiss air forc stay japan earn master doctor degre tokyo univers publish autobiograph work japan entitl nikkei hangyakuji translat english beyond loyalti stori kibei,positive
38,nisei male born juli imperi valley california incarcer tular assembl center california gila river concentr camp arizona tule lake concentr camp california interview discus memori tule lake concentr camp becam segreg center includ kill camp inmat riot implement martial law pressur particip projapanes activ,neutral
39,kibei male born june greeley colorado rais denver colorado age five sent japan school return u age seventeen continu educ eventu becom first nikkei attorney state colorado draft u armi march becam member militari intellig servic mi serv instructor japanes languag mi languag school languag specialist washington dc pacif militari intellig research section pacmir maryland hire civilian u govern postwar provid legal counsel defend war crime trial japan later supervis japanes legal judici reform receiv medal commend japanes govern work connect reform japan judici system,neutral
40,nisei male born june ferri counti washington sent japan age five follow father death return spokan washington enlist u armi januari serv militari intellig servic mi pacif ocean theater world war ii serious injur kamikaz dive bomb attack recal activ duti subsequ serv korean war vietnam war militari intellig direct u armi counterintellig vietnam retir servic rank colonel,positive
41,nisei male born march hilo hawaii lieuten nd regiment combat team instrument clear courtmarti convict shiro kashino member unit,positive
42,nisei femal born februari seattl washington world war ii incarcer puyallup assembl center washington minidoka concentr camp idaho longtim civil right activist educ pacifist,positive
43,white male born lo angel california redress movement serv special counsel commiss wartim reloc intern civilian cwric oversaw public commiss report person justic deni,negative
44,nisei male born march kent washington world war ii incarcer pinedal assembl center california tule lake concentr camp california leav camp attend colleg south dakota draft u armi serv militari intellig servic postwar occup japan militari servic becam attorney judg serv legal counsel japanes american citizen leagu japanes american appoint serv commiss wartim reloc intern civilian cwric redress movement,negative
45,nisei male born march lo angel california spent prewar childhood long beach california attend grade school junior high japan return unit state attend high school draft u armi sent camp robert san lui obispo california basic train among first japanes american drafte world war ii broke summarili discharg armi reclassifi enlist reserv unit sent santa anita assembl center incarcer tule lake concentr camp california within two month incarcer recal duti militari intellig servic receiv bronz star secur surrend japanes militari nonmilitari personnel island saipan serv macarthur gener headquart japan,neutral
46,nisei femal born novemb san francisco california young woman entir famili visit japan ten month acquir skill japanes type kumahira typist yoseisho hiroshima return u famili eldest brother remain japan work japanes chamber commerc san francisco u enter world war ii incarcer famili tanforan assembl center san bruno california topaz concentr camp utah spend year topaz abl secur employ japanes typist militari intellig servic languag school misl camp savag fort snell minnesota soon thereaft temporarili assign secretari mr john f aiso remain capac major aiso receiv order go oversea marri misl instructor went japan postwar husband servic u occup forc,neutral
47,kibei male born januari hood river oregon live seattl washington taken japan mother age three complet elementari high school japan return seattl seventeen year age continu educ unit state draft instructor militari intellig servic mi also serv u occup forc postwar japan war crime trial investig resettl seattl,neutral
48,nisei male born april island molokai hawaii volunt militari servic bomb pearl harbor serv nd regiment combat unit sergeant assist squad leader later three other unit rank reduc privat courtmarti alleg involv fight armi militari polic offic mp,positive
49,nisei femal born april moneta california grew work famili strawberri farm attend japanes languag school learn japanes danc sing popular excel high school prevent parent teacher associ give commenc address ethnic attend dress design school open dressmak shop age twentyon met husband japanes matchmak got marri soon onset wwii anticip incarcer incarcer gila river concentr camp husband contract tuberculosi care ail husband isol confin camp hospit taught camp inmat dressmak well japanes danc sing convert christian result weekli visit christian missionari camp war end camp nearli empti went prolong difficult labor requir staff reopen hospit husband stay gila river everyon el left resettl fresno california,neutral
50,kibei male born august sprecklesvil maui hawaii taken japan rais grandpar return unit state join father barneston sawmil washington marri farm bellevu washington found bellevu seinenkai manag bellevu veget grower associ prior world war ii pick fbi decemb detain immigr natur servic in seattl intern depart justic camp fort missoula montana transfer pinedal assembl center california tule lake concentr camp california releas harvest sugar beet chinook montana famili work crew establish farm chinook,negative
51,nisei femal born juli seattl washington spent prewar childhood seattl nihonmachi rais matern grandmoth marri henri miyak issei photograph owner takano studio incarcer puyallup assembl center washington minidoka concentr camp idaho,negative
52,nisei male born juli seattl washington wrote social solidar among japanes seattl master thesi publish one first academ work japanes immigr commun incarcer tule lake concentr camp california member evacu resettl studi studi incarcer resettl japanes american world war ii resettl seattl longtim member faculti sociolog univers washington serv chairman depart act dean colleg art scienc,negative
53,nisei male born april seattl washington incarcer puyallup assembl center minidoka concentr camp idaho key childhood experi discrimin made selfdescrib independ thinker later influenti figur japanes american commun teenag camp wrote defend essay critic unit state treatment racial minor teacher refus accept paper result fail grade prevent graduat postwar serv u counterintellig corp privi classifi document detail placement spi incarcer camp leav militari work boe compani fought discriminatori workplac practic also one earliest propon redress research plan organ seattl plan first highli develop plan obtain redress u govern wwii incarcer japanes american commun,positive
54,nitengosei niseisansei male born april tacoma washington world war ii incarcer famili tule lake concentr camp california war resettl seattl nihonmachi father reestablish famili busi uwajimaya sell japanes foodstuff item work uwajimaya throughout childhood along seven brother sister prior attend bailey gatzert elementari garfield high school univers washington work boe compani leav help run uwajimaya becom ceo presid uwajimaya addit activ serv hold leadership posit civic social profession organ receiv numer honor award nikkei commun nonnikkei mainstream uwajimaya present largest foodrel japanes american own busi pacif northwest gener million annual gross incom also remain larg famili busi employ six seven sibl key role,positive
55,nisei femal born seattl washington incarcer puyallup assembl center washington minidoka concentr camp idaho resettl seattl washington coproprietor higo varieti store seattl intern district sister masako familyown japanes american busi oper sinc,negative
56,nisei femal born octob seattl washington incarcer puyallup assembl center washington minidoka concentr camp idaho resettl seattl washington coproprietor higo varieti store seattl intern district sister ayako familyown japanes american busi oper sinc,positive
57,nisei male born june nemah washington famili own oper eagl oyster pack compani nahcotta washington incarcer tule lake concentr camp california return nemah follow war famili fight get compani back eventu sold busi coast oyster compani stay manag,negative
58,sansei male born june lo angel california grew littl tokyo boyl height area world war ii remov poston concentr camp arizona becam ordain baptist minist incarcer minist fellow camp inmat lead ecumen worship servic camp left poston attend bethel theolog seminari st paul minnesota follow war resettl lo angel establish japanes baptist church later renam evergreen baptist church appoint first director japanes evangel missionari societi spent eight year pastor makiki church honolulu return mainland earn doctor degre rel school theolog claremont california author thesi japanes american ident ethnic plural christian spent fifteen year pastor japanes baptist church seattl washington taught american baptist seminari west berkeley california serv director council pacif asian theolog oakland california present ministeratlargenorthern california japanes american church feder,neutral
